Korean,Romanization,Frequency,English
감기,gamgi,29.604,cold/flu
두통,dutong,9.777,headache
몸살,momsal,8.603,body aches
배탈,baetal,3.567,upset stomach
병원,byeongwon,197.137,hospital
수술,susul,68.417,surgery
처방,cheobang,21.262,prescription
약국,yakguk,17.669,pharmacy
정신과,jeongsingwa,11.840,psychiatry
치과,chigwa,8.919,dentistry
진찰,jinchal,7.393,medical examination
내과,naegwa,7.273,internal medicine
외과,oegwa,6.502,surgery department
응급실,eunggeupsil,5.317,emergency room
안과,angwa,4.216,ophthalmology
피부과,pibugwa,3.191,dermatology
소아과,soagwa,3.088,pediatrics
처방전,cheobangjeon,2.151,prescription
성형외과,seonghyeongoegwa,1.968,plastic surgery
비뇨기과,binyogigwa,1.922,urology
구급차,gugeupcha,1.470,ambulance
이비인후과,ibiinhugwa,1.422,ear nose and throat
구급약,gugeubyak,0.260,first-aid medicine
